,s_0_ma,s_0_me,s_0_vol,s_0_nb,s_0_freq,s_0_ratio,s_0_ratio2,s_1_ma,s_1_me,s_1_vol,s_1_nb,s_1_freq,s_1_ratio,s_1_ratio2,s_2_ma,s_2_me,s_2_vol,s_2_nb,s_2_freq,s_2_ratio,s_2_ratio2,s_3_ma,s_3_me,s_3_vol,s_3_nb,s_3_freq,s_3_ratio,s_3_ratio2,s_4_ma,s_4_me,s_4_vol,s_4_nb,s_4_freq,s_4_ratio,s_4_ratio2,s_5_ma,s_5_me,s_5_vol,s_5_nb,s_5_freq,s_5_ratio,s_5_ratio2,s_6_ma,s_6_me,s_6_vol,s_6_nb,s_6_freq,s_6_ratio,s_6_ratio2,s_7_ma,s_7_me,s_7_vol,s_7_nb,s_7_freq,s_7_ratio,s_7_ratio2,s_8_ma,s_8_me,s_8_vol,s_8_nb,s_8_freq,s_8_ratio,s_8_ratio2,s_9_ma,s_9_me,s_9_vol,s_9_nb,s_9_freq,s_9_ratio,s_9_ratio2,target
513181,3754.8,-1.363643939267679,248.90204995882803,7.0,0.019,1.02,1.563,7713.299999999999,-0.06968217196380061,380.55581541849614,9.0,0.021,1.06,1.808,3516.4,-4.53417443042616,216.67392077295116,5.0,0.015,1.288,1.563,3567.0,1.1725804569923834,216.4634918982122,6.0,0.014,1.312,1.738,2655.2,-0.26032899451675806,144.67069952423014,7.0,0.015,1.019,1.691,3708.7,-1.156780720321328,338.6258033761616,11.0,0.038,1.175,1.311,6948.4,-0.19929667838869353,355.1947657152042,6.0,0.01,1.106,1.655,2551.8,1.3830936151064148,261.6905228917163,17.0,0.03,1.369,1.182,4477.6,0.5647239212679789,243.4198672274886,4.0,0.033,1.255,1.978,11374.9,-1.5429242845952567,548.0775223562204,8.0,0.023,1.106,1.704,40377193
603314,5703.200000000001,4.812719788003533,669.7234097133775,7.0,0.011,1.137,1.172,15142.0,1.8228529524507926,986.8266689852328,19.0,0.033,1.441,1.526,6022.1,2.8277362043965932,567.5327066949275,15.0,0.026,1.202,1.147,4791.5,6.850452492458459,605.1225425732473,15.0,0.026,1.011,1.171,2961.5,-1.3763386964730255,229.03511883416448,16.0,0.029,1.336,1.366,15206.900000000001,40.27407876535391,2063.2327574155865,5.0,0.01,1.25,1.107,695.7,1.5936234396093398,56.235744839815524,35.0,0.058,1.0,1.589,1587.6,0.652105798236696,97.05179141453424,21.0,0.034,1.0,1.916,5458.9,-1.2949617506374893,603.7082841085121,10.0,0.017,1.064,1.108,11060.1,1.3939767670538825,1016.9280889116102,11.0,0.02,1.337,1.184,22639670
1257785,2396.7,-0.09399843335944401,244.0358862385839,9.0,0.018,1.1,1.195,,,,0.0,0.0,0.0,0.0,2664.2,2.882651955800737,225.78549915280186,8.0,0.025,1.165,1.311,3742.2,-2.0129997833369444,415.35933705008756,7.0,0.011,1.15,1.196,2408.7,0.3909434842752621,176.27197379948325,17.0,0.03,1.467,1.269,2039.2,1.9999833336111066,272.6253752681123,9.0,0.019,1.089,1.13,4349.5,-2.0122997950034165,316.9437901152363,13.0,0.023,1.253,1.48,,,,0.0,0.0,0.0,0.0,3060.5,0.5735737737704372,272.57733370720456,14.0,0.027,1.052,1.252,6337.1,3.8715021416309727,555.3689045229517,13.0,0.021,1.434,1.218,14796900
1846591,2913.3,1.7297211713138114,331.69294972095656,10.0,0.018,1.0,1.193,8783.6,-6.028932851119148,675.3618995037311,25.0,0.041,1.287,1.255,2029.0,-4.028099531674472,257.7388495910024,6.0,0.009,1.18,1.09,2646.3999999999996,2.469242179297012,289.70347533822746,18.0,0.03,1.195,1.117,2412.0,-1.7593873435442742,194.80876001958512,14.0,0.022,1.293,1.332,6649.3,2.547657539041016,687.7280643549304,13.0,0.022,1.042,1.223,4278.9,-1.9363677272045465,479.1391727655112,18.0,0.03,1.149,1.19,5608.6,-2.1139814336427727,604.9843695142548,24.0,0.04,1.022,1.204,2386.6,-3.250649372989524,312.27582633291,15.0,0.024,1.156,1.099,7172.1,-2.1811969800503324,744.347803789481,10.0,0.017,1.023,1.203,22347471
2071930,2198.5,4.40187663538941,270.05709290553307,11.0,0.017,1.126,1.136,16030.1,-1.0908984850252497,690.2323542298013,18.0,0.031,1.563,1.787,1778.6999999999998,3.894301761637306,227.7769558625334,6.0,0.009,1.186,1.184,1949.1999999999998,1.3121614639756005,231.34056917442567,13.0,0.022,1.053,1.159,2272.7,-0.3413276445392577,178.2767966297364,16.0,0.026,1.116,1.353,1464.7,-0.35509408176530394,211.3675665011595,15.0,0.024,1.015,1.078,1823.8,-0.7873868768853852,211.3649424398275,6.0,0.01,1.181,1.103,1771.6,-0.47140880985316913,220.70567249196924,23.0,0.037,1.014,1.143,2207.5,-0.10296495058415693,249.62354609717707,12.0,0.02,1.153,1.173,6212.4,4.767287211879802,664.7289489841671,11.0,0.021,1.484,1.186,27370979
2666652,6999.4,-3.9566507224879586,525.9441438816807,12.0,0.025,1.468,1.351,30093.800000000003,-0.7028716188063532,687.3848651330928,10.0,0.018,4.738,2.53,,,,0.0,0.0,0.0,0.0,4883.6,4.004599923334611,412.3024679246488,8.0,0.03,1.003,1.318,5150.2,1.0581323644605922,194.88244970003123,14.0,0.023,2.451,1.833,13040.2,5.876302061632306,1795.5285417724479,6.0,0.012,1.016,1.062,6288.200000000001,4.290778487025216,571.0364793824027,10.0,0.02,1.398,1.193,7188.4,5.119714671422143,827.6216729224373,7.0,0.012,1.422,1.354,,,,0.0,0.0,0.0,0.0,11602.0,7.043215946400894,777.158582760283,12.0,0.02,1.197,1.398,19127800
5149608,3504.3,-4.548490858485692,376.35901603515265,12.0,0.023,1.202,1.213,31297.100000000002,-1.1561973967100547,1003.2519922362317,13.0,0.026,1.475,2.456,2676.1000000000004,1.0448159197346711,273.2687278331344,14.0,0.029,1.041,1.193,2801.8,1.102964950584157,310.3421035368686,14.0,0.029,1.03,1.212,4735.5,1.7961700638322695,255.35885765636095,12.0,0.022,1.198,1.602,2062.5,-2.1709471508808185,238.14448516251852,6.0,0.01,1.22,1.129,2843.5,2.9415176413726436,268.1050995238314,9.0,0.028,1.035,1.21,1836.0,0.6500891651805804,233.81666708442808,18.0,0.029,1.064,1.102,3590.7,4.410626489558507,353.38842811660334,15.0,0.03,1.095,1.276,14255.3,14.900918318028033,948.9877899999015,8.0,0.016,1.618,1.482,26107096
5460203,3436.5,-1.80010333161114,400.97386569863426,7.0,0.014,1.276,1.118,19170.9,-4.8544357594040095,1057.9693053171166,16.0,0.025,1.032,1.673,3327.7,2.8853352444125933,431.32788427835897,16.0,0.029,1.009,1.111,3517.3,1.348760853985767,390.89964413940015,17.0,0.027,1.058,1.16,2992.2,0.1874468758854019,240.32356769460478,20.0,0.035,1.013,1.471,9366.400000000001,-2.951167480541991,514.156573233273,8.0,0.018,1.778,1.693,4528.0,-0.6703388276862052,506.75078416227376,25.0,0.042,1.047,1.183,12484.2,2.1905801569973833,583.160920973736,18.0,0.033,1.342,1.675,3752.0,2.995266834409586,455.7344707893182,17.0,0.027,1.306,1.145,7874.0,-2.475975400409993,926.1185437266432,12.0,0.028,1.161,1.182,14935923
6070985,2277.2,2.5461408976517057,299.1661288798209,6.0,0.009,1.004,1.08,9692.2,-1.3001783303611607,744.5207201211774,18.0,0.031,1.331,1.39,2408.7,-7.7564040599323345,308.8367611283971,3.0,0.006,1.104,1.06,2362.3,-0.7234212763120614,291.6236047501766,20.0,0.034,1.029,1.104,,,,0.0,0.0,0.0,0.0,4845.6,19.01231646139231,628.3470134929261,3.0,0.006,1.183,1.132,5310.5,9.641772637122715,535.3844295422008,7.0,0.011,1.511,1.146,3848.0,-18.033749437509375,556.2360907035307,2.0,0.003,1.252,1.126,3146.4,-0.1412643122614623,324.4497874088567,24.0,0.04,1.063,1.205,5560.200000000001,2.036482725287912,543.8038094839612,9.0,0.016,1.195,1.229,22852093
6452624,38424.7,-1.247279212013133,4882.23339131664,7.0,0.013,1.033,1.133,65534.0,78.23692938451026,8121.969218522712,17.0,0.03,1.0,1.161,39155.6,12.473492108464859,4709.542972538275,8.0,0.014,1.257,1.148,41270.1,-30.60575657072382,5089.356071305339,11.0,0.021,1.158,1.135,,-195.43765743073047,1737.7836083756506,0.0,0.0,0.0,0.0,27173.800000000003,0.35222746287561874,3487.9681367865674,8.0,0.017,1.16,1.125,24038.4,36.037166047232546,3133.2549113469317,7.0,0.018,1.015,1.125,20792.4,-24.124931251145814,2700.6561927170096,9.0,0.016,1.122,1.096,41835.1,-0.530424492925118,5219.91323827401,12.0,0.03,1.143,1.084,65534.0,22.270695488408528,8195.868065535642,12.0,0.024,1.028,1.138,2839944
